Winery,Wine Name,Vintage,Appellation,Country,Class Nam,Price,Medal
Baldassari,Carneros Chardonnay,2018,Sonoma Coast,USA,Chardonnay,44,S
Baldassari,Malbec,2018,Alexander Valley,USA,Malbec,50,S
Balistreri Vineyards,Petite Sirah,2020,American,USA,Petite Sirah,42,B
Balistreri Vineyards,Primitivo,2020,American,USA,Primitivo,32,B
Balistreri Vineyards,Syrah,2017,Colorado,USA,Syrah / Shiraz,48,B
Balistreri Vineyards,Tempranillo,2020,Colorado,USA,Tempranillo,34,B
Balistreri Vineyards,Alicante Bouschet,2020,American,USA,Other Red Varietal,34,G
Balistreri Vineyards,Cabernet Franc,2020,Colorado,USA,Cabernet Franc,36,S
Ballard Lane,Sauvignon Blanc,2019,Central Coast,USA,Sauvignon Blanc,13,G
Ballet,Ballet White Blend,2020,American,USA,Hybrid White Blend,18,B
Balletto Vineyards,Pinot Gris,2020,Russian River Valley,USA,Pinot Gris/ Pinot Grigio,20,B
Balletto Vineyards,Pinot Noir,2018,Russian River Valley,USA,Pinot Noir,29,G
Balletto Vineyards,Teresa's Unoaked Chardonnay,2020,Russian River Valley,USA,Chardonnay,20,S
Balletto Vineyards,Estate Pinot Noir,2018,Russian River Valley,USA,Pinot Noir,46,S
Bandit,Chardonnay,NV,California,USA,Chardonnay,10,B
Bandit,Pinot Grigio,NV,California,USA,Pinot Gris/ Pinot Grigio,10,B
Bandit,Dry Rosé,NV,California,USA,Rosé,10,B
Bandit,Cabernet Sauvignon,NV,California,USA,Cabernet Sauvignon,10,S
Banshee,Pinot Noir,2019,Sonoma County,USA,Pinot Noir,25,GG
Banshee,Cabernet Sauvignon,2019,Sonoma County,USA,Cabernet Sauvignon,25,S
Banshee,Chardonnay,2019,Sonoma County,USA,Chardonnay,22,S
Bar Dog,Chardonnay,2019,California,USA,Chardonnay,15,B
Bar Dog,Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,15,G
Bar Dog,Red Wine,2019,California,USA,Non-Bordeaux Blend<$25,15,G
Bar Dog,Pinot Noir,2019,California,USA,Pinot Noir,15,G
Bar Z Winery,Riesling,2018,Texas High Plains,USA,Riesling .7% or below,22,B
Barboursville Vineyards,Reserve Vermentino,2020,Virginia,USA,Italian White Varietal,23,B
Barboursville Vineyards,Octagon Premium Bordeaux Blend,2018,Virginia,USA,Premium Bordeaux Blend >$25,55,B
Barboursville Vineyards,Reserve Viognier,2020,Virginia,USA,Viognier,22,B
Barboursville Vineyards,Reserve Nebbiolo,2019,Virginia,USA,Nebbiolo (Barbaresco| Barolo),35,S
Barboursville Vineyards,Octagon Premium Bordeaux Blend,2017,Virginia,USA,Premium Bordeaux Blend >$25,55,S
Barboursville Vineyards,Reserve Sauvignon Blanc,2014,Virginia,USA,Sauvignon Blanc,35,S
Bare Bones,Shiraz,2020,Great Western,Australia,Syrah / Shiraz,15,B
Barefoot Bubbly,Pink Moscato,NV,California,USA,Rosé,10,B
Barefoot Bubbly,Brut Cuvee,NV,California,USA,Brut Nature (less than 3g/l),10,S
Barefoot Bubbly,Extra Dry,NV,California,USA,Extra Dry (12-17 g/l),10,S
Barefoot Bubbly,Prosecco,NV,California,USA,Prosecco,10,S
Barefoot Bubbly,Brut Rosé,NV,California,USA,Rosé,10,S
Barefoot Bubbly,Peach Sparkling,NV,California,USA,Sparkling Fruit,10,S
Barefoot Bubbly,Moscato Spumante,NV,California,USA,Spumante,10,S
Barefoot Cellars,Chardonnay,NV,California,USA,Chardonnay,7,B
Barefoot Cellars,Merlot,NV,California,USA,Merlot,7,B
Barefoot Cellars,Rich Red Blend,NV,California,USA,Non-Bordeaux Blend<$25,7,B
Barefoot Cellars,Pinot Noir,NV,California,USA,Pinot Noir,7,B
Barefoot Cellars,Riesling,NV,California,USA,Riesling .7% or below,7,B
Barefoot Cellars,Rosé,NV,California,USA,Rosé,7,B
Barefoot Cellars,Shiraz,NV,California,USA,Syrah / Shiraz,7,B
Barefoot Cellars,White Zinfandel,NV,California,USA,White Zinfandel,7,B
Barefoot Cellars,Sauvignon Blanc,NV,California,USA,Sauvignon Blanc,7,G
Barefoot Cellars,Pink Moscato,NV,California,USA,Varietal Blush Wine,7,G
Barefoot Cellars,Cabernet Sauvignon,NV,California,USA,Cabernet Sauvignon,7,S
Barefoot Cellars,Buttery Chardonnay,NV,California,USA,Chardonnay,7,S
Barefoot Cellars,Malbec,NV,California,USA,Malbec,7,S
Barefoot Cellars,White Moscato,NV,California,USA,Muscat,7,S
Barefoot Cellars,Sunset Red Blend,NV,California,USA,Non-Bordeaux Blend<$25,20,S
Barefoot Cellars,Pinot Grigio,NV,California,USA,Pinot Gris/ Pinot Grigio,7,S
Barefoot Cellars,Red Moscato,NV,California,USA,Sweet Red,7,S
Barefoot Cellars,Sweet Red,NV,California,USA,Sweet Red,7,S
Barefoot Cellars,Pink Pinot Grigio,NV,California,USA,Varietal Blush Wine,7,S
Barefoot Cellars,Zinfandel,NV,California,USA,Zinfandel,7,S
Barefoot Fruitscato,Watermelon,NV,California,USA,Fruit Flavored,7,B
Barefoot Fruitscato,Mango,NV,California,USA,Fruit Flavored,7,G
Barefoot Fruitscato,Peach,NV,California,USA,Fruit Flavored,7,S
Barefoot Fruitscato,Strawberry,NV,California,USA,Fruit Flavored,7,S
Bargetto Winery,Reserve Pinot Noir,2019,Santa Cruz Mountains,USA,Pinot Noir,45,GG
Bargetto Winery,Reserve Chardonnay,2020,Santa Cruz Mountains,USA,Chardonnay,35,S
Bargetto Winery,Pommard Clone Pinot Noir,2019,Santa Cruz Mountains,USA,Pinot Noir,35,S
Baron Herzog,Merlot,2019,California,USA,Merlot,13,B
Baron Herzog,Rosé,2020,California,USA,Rosé,10,B
Baron Herzog,Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,13,S
Baron Herzog,Chardonnay,2020,California,USA,Chardonnay,13,S
Baron Herzog,Old Vine Zinfandel,2019,California,USA,Zinfandel,13,S
Barone Fini,Pinot Grigio,2020,Valdadige,Italy,Pinot Gris/ Pinot Grigio,13,B
Barossa Valley Estate,Shiraz,2019,Barossa Valley,Australia,Syrah / Shiraz,15,G
Barossa Valley Estate,Cabernet Sauvignon,2019,Barossa Valley,Australia,Cabernet Sauvignon,15,S
Barossa Valley Estate,GSM Red Rhône Blend,2019,Barossa Valley,Australia,Red Rhône Blend,15,S
Barrel Notes,Chardonnay,2019,Cienega Valley,USA,Chardonnay,30,B
Barrelhouse,Bourbon Barrel Aged Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,14,S
Barrelhouse,Bourbon Barrel Aged Chardonnay,2019,California,USA,Chardonnay,14,S
Barrelhouse,Bourbon Barrel Aged Red Blend,2019,California,USA,Non-Bordeaux Blend<$25,14,S
Barsetti Vineyards,Gewürztraminer,2020,California,USA,Gewürztraminer 2% or above,11,B
Barsetti Vineyards,Pinot Grigio,2020,California,USA,Pinot Gris/ Pinot Grigio,10,B
Barsetti Vineyards,Sauvignon Blanc,2020,Lodi,USA,Sauvignon Blanc,15,B
Barsetti Vineyards,Chardonnay,2018,Lodi,USA,Chardonnay,16,S
Barsetti Vineyards,Chenin Blanc,2020,California,USA,Chenin Blanc .71% or above,10,S
Barsetti Vineyards,Petite Sirah,2018,Lodi,USA,Petite Sirah,25,S
Barsetti Vineyards,Pinot Noir,2016,Lodi,USA,Pinot Noir,21,S
Basalt Cellars,Cabernet Sauvignon,2017,Columbia Valley,USA,Cabernet Sauvignon,36,B
Basalt Cellars,Merlot,2017,Columbia Valley,USA,Merlot,30,B
Basalt Cellars,Cabernet Franc,2017,Washington State,USA,Cabernet Franc,26,S
Basalt Cellars,Stone Garden Premium Bordeaux Blend,2018,Lewis-Clark Valley,USA,Premium Bordeaux Blend >$25,42,S
Basalt Cellars,GSM,2018,Columbia Valley,USA,Red Rhône Blend,36,S
Basalt Cellars,Sauvignon Blanc,2020,Lewis-Clark Valley,USA,Sauvignon Blanc,26,S
Basalt Cellars,GSM Blanc White Rhône Blend,2020,Lewis-Clark Valley,USA,White Rhône Blend,22,S
Batch 198,Bourbon Barrell Aged for 3 Months Cabernet Sauvignon,2018,North Coast,USA,Cabernet Sauvignon,15,B
Be Human,Cabernet Sauvignon,2019,Columbia Valley,USA,Cabernet Sauvignon,17,S
Beach Pass,Rosé,2020,Paso Robles,USA,Rosé,16,B
Beachaven Vineyards '&' Winery,Chambourcin Rosé,2020,Tennessee,USA,Varietal Rosé,15,B
Bear Bros.,Cabernet Sauvignon,2019,California,USA,Cabernet Sauvignon,9,S
Bear Flag,Cabernet Sauvignon,2017,California,USA,Cabernet Sauvignon,30,GG
Bear Flag,Eureka! Red Blend,NV,California,USA,Premium Non- Bordeaux Blends>$25,30,S
Becker Vineyards,Barbera,2019,Texas Hill Country,USA,Barbera,30,B
Becker Vineyards,Reserve Cabernet Sauvignon,2017,Texas High Plains,USA,Cabernet Sauvignon,50,B
Becker Vineyards,Barrel Select Cabernet Sauvignon,2019,Texas,USA,Cabernet Sauvignon,18,B
Becker Vineyards,Reserve Chardonnay,2018,Texas Hill Country,USA,Chardonnay,30,B
Becker Vineyards,Reserve Chardonnay,2019,Texas Hill Country,USA,Chardonnay,30,B
Becker Vineyards,Reserve Petite Sirah,2018,Texas,USA,Petite Sirah,40,B
Becker Vineyards,Culinaria Red Blend,2018,Texas,USA,Premium Non- Bordeaux Blends>$25,35,B
Becker Vineyards,Estate Sauvignon Blanc,2020,Texas Hill Country,USA,Sauvignon Blanc,30,B
Becker Vineyards,White Blend,2019,Texas,USA,White Rhône Blend,18,B
Becker Vineyards,White Blend,2019,Texas,USA,White Rhône Blend,25,B
Becker Vineyards,Reserve Roussanne,2018,Texas High Plains,USA,White Rhône Varietal,25,B
Becker Vineyards,Zinfandel,2019,Texas,USA,Zinfandel,32,B
Becker Vineyards,Reserve Malbec,2019,Texas Hill Country,USA,Malbec,30,G
Becker Vineyards,Cabernet Sauvignon,2017,Texas,USA,Cabernet Sauvignon,25,S
Becker Vineyards,Reserve Dolcetto,2018,Texas High Plains,USA,Dolcetto,30,S
Becker Vineyards,Malbec,2019,Texas,USA,Malbec,15,S
Becker Vineyards,Estate White Wing Sauv Blanc,2019,Texas Hill Country,USA,Sauvignon Blanc,25,S
